Crop,Type,Soil,Ideal_Temp_C,Rainfall_mm,Season,Recommended_Fertilizer,Common_Pests/Diseases,Region_States,Sowing_Period,Harvest_Period,Average_Yield
Bottle Gourd,Cash Crop,Alluvial,17-27,900-1100,Kharif,NPK 12:32:16,Nematode,Kerala,Jun-Jul,Sep-Oct,0.89
Betel Vine,Spice,Loamy,24-34,200-300,Zaid,DAP,Leaf spot,Telangana,Mar-Apr,Jun-Jul,3.15
Onion,Vegetable,Saline,15-25,800-1300,Zaid,Compost,Powdery mildew,Delhi,Mar-Apr,Jun-Jul,4.16
Guava,Fruit,Peaty,22-32,700-1000,Perennial,Gypsum,Fungal wilt,Uttar Pradesh,Varies,Varies,24
Sesamum,Plantation,Red,17-27,300-1100,Zaid,NPK 20:20:0,Cutworm,Odisha,Mar-Apr,Jun-Jul,1.74
Soybean,Oilseed,Clay Loam,20-30,300-800,Perennial,Gypsum,Brown spot,Goa,Varies,Varies,2.01
Maize,Cereal,Alluvial,14-24,1200-2000,Rabi,Muriate of Potash,Powdery mildew,Telangana,Oct-Nov,Mar-Apr,1.27
Jowar,Cereal,Sandy,15-25,1000-1500,Annual,Compost,Powdery mildew,Uttar Pradesh,Varies,Varies,4.55
Brinjal,Vegetable,Laterite,24-34,1200-1700,Perennial,Muriate of Potash,Rust,Jammu & Kashmir,Varies,Varies,2.18
Coffee,Plantation,Sandy,15-25,1500-1800,Perennial,Compost,Fall armyworm,Haryana,Varies,Varies,1.57
Pineapple,Fruit,Black (Regur),10-20,500-1300,Annual,Balanced NPK 100:50:50,Powdery mildew,Jammu & Kashmir,Varies,Varies,12
Moong (Green Gram),Pulse,Loamy,29-39,1200-1300,Annual,Lime,None common,Bihar,Varies,Varies,1.57
Rice,Cereal,Peaty,23-33,700-800,Annual,Ammonium Sulphate,Rust,Himachal Pradesh,Varies,Varies,3.13
Cauliflower,Vegetable,Clay Loam,14-24,600-1100,Rabi,DAP,Pod borer,Sikkim,Oct-Nov,Mar-Apr,4.19
Coconut,Plantation,Alluvial,28-38,1000-1100,Annual,Urea,Fruit borer,Manipur,Varies,Varies,6682 nuts/tree
Rapeseed,Oilseed,Sandy Loam,13-23,400-900,Annual,NPK 12:32:16,Bacterial blight,Uttarakhand,Varies,Varies,3.1
Chili,Vegetable,Laterite,23-33,1000-1800,Perennial,Muriate of Potash,Nematode,Jharkhand,Varies,Varies,2.83
Mustard,Oilseed,Clay Loam,14-24,1500-1600,Rabi,Gypsum,Leaf spot,Odisha,Oct-Nov,Mar-Apr,1.43
Cabbage,Vegetable,Saline,11-21,400-900,Kharif,DAP,Cutworm,Andhra Pradesh,Jun-Jul,Sep-Oct,4.4
Millet,Cereal,Laterite,21-31,300-1100,Kharif,No fertilizer (organic),Fruit borer,Puducherry,Jun-Jul,Sep-Oct,4.82
Brinjal,Vegetable,Red,30-40,900-1400,Kharif,NPK 20:20:0,Anthracnose,Puducherry,Jun-Jul,Sep-Oct,3.79
Bajra,Cereal,Peaty,17-27,1200-1400,Kharif,Organic FYM,Rust,Manipur,Jun-Jul,Sep-Oct,0.67
Chili,Vegetable,Sandy Loam,22-32,800-1600,Rabi,Lime,Stem borer,Arunachal Pradesh,Oct-Nov,Mar-Apr,4.11
Brinjal,Vegetable,Saline,21-31,700-1000,Rabi,Compost,Brown spot,Chhattisgarh,Oct-Nov,Mar-Apr,4.57
Onion,Vegetable,Clay Loam,26-36,300-1100,Kharif,Lime,Pod borer,Maharashtra,Jun-Jul,Sep-Oct,4.89
Tomato,Vegetable,Saline,18-28,900-1400,Annual,Gypsum,None common,Kerala,Varies,Varies,4.36
Pumpkin,Plantation,Saline,10-20,900-1000,Zaid,DAP,Fruit borer,Manipur,Mar-Apr,Jun-Jul,3.66
Orange,Fruit,Clay Loam,21-31,1000-1800,Kharif,No fertilizer (organic),Bacterial blight,Kerala,Jun-Jul,Sep-Oct,2.0
Cabbage,Vegetable,Peaty,15-25,900-1200,Zaid,NPK 20:20:0,Fall armyworm,Karnataka,Mar-Apr,Jun-Jul,2.0
Coconut,Plantation,Laterite,17-27,500-800,Rabi,NPK 20:20:0,Brown spot,Jammu & Kashmir,Oct-Nov,Mar-Apr,7045 nuts/tree
Sweet Potato,Oilseed,Black (Regur),13-23,300-800,Annual,Urea,None common,Uttarakhand,Varies,Varies,2.55
Bottle Gourd,Cash Crop,Saline,20-30,900-1700,Zaid,Gypsum,Blast disease,Tripura,Mar-Apr,Jun-Jul,4.2
Apple,Fruit,Alluvial,26-36,800-1300,Annual,Urea,Locusts,Gujarat,Varies,Varies,20
Tea,Plantation,Black (Regur),26-36,900-1200,Kharif,Urea,Anthracnose,Assam,Jun-Jul,Sep-Oct,1.95
Moong (Green Gram),Pulse,Sandy Loam,29-39,600-800,Annual,NPK 12:32:16,Rust,Karnataka,Varies,Varies,2.92
Betel Vine,Oilseed,Loamy,23-33,500-1000,Zaid,Organic FYM,Fruit borer,Karnataka,Mar-Apr,Jun-Jul,2.8
Orange,Fruit,Sandy,17-27,1000-1500,Perennial,NPK 20:20:0,Cutworm,Himachal Pradesh,Varies,Varies,4.21
Wheat,Cereal,Clay Loam,25-35,400-1200,Annual,No fertilizer (organic),Root rot,Himachal Pradesh,Varies,Varies,2.58
Ragi,Cereal,Black (Regur),15-25,200-400,Zaid,Gypsum,Powdery mildew,Bihar,Mar-Apr,Jun-Jul,2.53
Betel Vine,Cash Crop,Peaty,27-37,600-900,Kharif,Ammonium Sulphate,Whitefly,Gujarat,Jun-Jul,Sep-Oct,4.77
Arecanut,Plantation,Red,19-29,700-1000,Annual,Gypsum,None common,Arunachal Pradesh,Varies,Varies,2.24
Brinjal,Vegetable,Red,15-25,1500-1800,Perennial,Balanced NPK 100:50:50,Fungal wilt,Goa,Varies,Varies,3.0
Gram,Pulse,Sandy Loam,17-27,700-1000,Zaid,No fertilizer (organic),Bacterial blight,Sikkim,Mar-Apr,Jun-Jul,3.18
Cinnamon,Cash Crop,Saline,26-36,900-1400,Rabi,Muriate of Potash,Stem borer,West Bengal,Oct-Nov,Mar-Apr,3.92
Gram,Pulse,Red,22-32,300-400,Kharif,Gypsum,Thrips,Punjab,Jun-Jul,Sep-Oct,1.03
Gram,Pulse,Sandy,29-39,400-500,Perennial,NPK 12:32:16,Rust,Kerala,Varies,Varies,3.72
Groundnut,Oilseed,Peaty,15-25,200-300,Zaid,Organic FYM,Early blight,Chhattisgarh,Mar-Apr,Jun-Jul,4.7
Garlic,Vegetable,Loamy,14-24,1000-1200,Annual,Compost,Late blight,Manipur,Varies,Varies,4.24
Pepper,Other,Peaty,19-29,700-1200,Annual,NPK 20:20:0,Aphids,Chhattisgarh,Varies,Varies,2.09
Cotton,Fruit,Alluvial,10-20,1000-1200,Zaid,NPK 12:32:16,Early blight,Jharkhand,Mar-Apr,Jun-Jul,1.55
Bottle Gourd,Fruit,Alluvial,23-33,600-1400,Rabi,Urea,Thrips,Gujarat,Oct-Nov,Mar-Apr,2.17
Pepper,Spice,Laterite,15-25,1500-2000,Perennial,NPK 20:20:0,Bacterial blight,Haryana,Varies,Varies,2.33
Garlic,Vegetable,Peaty,18-28,800-1000,Kharif,Muriate of Potash,Cutworm,Tamil Nadu,Jun-Jul,Sep-Oct,1.41
Cucumber,Fruit,Saline,25-35,500-800,Kharif,Muriate of Potash,Leaf roller,Jharkhand,Jun-Jul,Sep-Oct,1.65
Brinjal,Vegetable,Red,24-34,200-400,Kharif,Muriate of Potash,Stem borer,Andhra Pradesh,Jun-Jul,Sep-Oct,1.77
Moringa,Cash Crop,Loamy,11-21,700-800,Rabi,Urea,Bacterial blight,Tripura,Oct-Nov,Mar-Apr,2.55
Coffee,Plantation,Sandy,22-32,200-300,Rabi,Ammonium Sulphate,None common,Chhattisgarh,Oct-Nov,Mar-Apr,1.62
Bajra,Cereal,Loamy,13-23,1000-1200,Perennial,Ammonium Sulphate,Anthracnose,Tamil Nadu,Varies,Varies,4.14
Barley,Cereal,Peaty,13-23,600-1100,Zaid,NPK 20:20:0,Nematode,Delhi,Mar-Apr,Jun-Jul,1.43
Masoor,Pulse,Clay Loam,20-30,200-400,Zaid,Compost,Whitefly,Rajasthan,Mar-Apr,Jun-Jul,3.43
Barley,Cereal,Saline,14-24,700-800,Rabi,Muriate of Potash,Early blight,Haryana,Oct-Nov,Mar-Apr,3.41
Jowar,Cereal,Sandy Loam,30-40,400-1200,Kharif,Muriate of Potash,Early blight,Kerala,Jun-Jul,Sep-Oct,2.29
Cauliflower,Vegetable,Laterite,10-20,800-1100,Rabi,NPK 12:32:16,Leaf roller,Andhra Pradesh,Oct-Nov,Mar-Apr,3.73
Drumstick,Vegetable,Saline,15-25,1000-1300,Zaid,No fertilizer (organic),Late blight,Karnataka,Mar-Apr,Jun-Jul,4.37
Sugarcane,Plantation,Peaty,14-24,900-1200,Zaid,Lime,Nematode,Chhattisgarh,Mar-Apr,Jun-Jul,60
Tobacco,Cash Crop,Red,10-20,1200-1500,Annual,NPK 20:20:0,Root rot,Arunachal Pradesh,Varies,Varies,1.8
Pineapple,Fruit,Peaty,25-35,1000-1200,Annual,NPK 12:32:16,Root rot,Madhya Pradesh,Varies,Varies,28
Safflower,Oilseed,Black (Regur),26-36,1500-1600,Kharif,Muriate of Potash,Blast disease,Uttarakhand,Jun-Jul,Sep-Oct,0.73
Coconut,Plantation,Alluvial,28-38,1500-2000,Perennial,Lime,Fungal wilt,Nagaland,Varies,Varies,9835 nuts/tree
Tomato,Vegetable,Sandy Loam,17-27,1200-1300,Kharif,NPK 20:20:0,Powdery mildew,Andhra Pradesh,Jun-Jul,Sep-Oct,4.85
Bottle Gourd,Cereal,Sandy Loam,27-37,800-1100,Kharif,Compost,Bacterial blight,Telangana,Jun-Jul,Sep-Oct,0.73
Coriander,Pulse,Laterite,26-36,300-400,Rabi,Lime,Fruit borer,Assam,Oct-Nov,Mar-Apr,1.94
Tea,Plantation,Peaty,23-33,300-1100,Zaid,Balanced NPK 100:50:50,Late blight,Nagaland,Mar-Apr,Jun-Jul,2.66
Urad,Pulse,Red,27-37,800-1600,Zaid,Balanced NPK 100:50:50,Blast disease,Jharkhand,Mar-Apr,Jun-Jul,4.68
Sweet Potato,Cash Crop,Peaty,20-30,700-1200,Perennial,No fertilizer (organic),Root rot,Sikkim,Varies,Varies,1.99
Guava,Fruit,Sandy,21-31,900-1400,Perennial,Urea,Mosaic virus,Punjab,Varies,Varies,17
Maize,Cereal,Red,19-29,200-500,Rabi,NPK 20:20:0,Root rot,Uttar Pradesh,Oct-Nov,Mar-Apr,4.39
Chili,Vegetable,Peaty,27-37,1200-2000,Rabi,DAP,Leaf roller,Chhattisgarh,Oct-Nov,Mar-Apr,1.97
Betel Vine,Vegetable,Laterite,18-28,600-700,Annual,Ammonium Sulphate,Fall armyworm,Puducherry,Varies,Varies,1.39
Safflower,Oilseed,Red,25-35,1200-1300,Annual,Balanced NPK 100:50:50,Pod borer,Punjab,Varies,Varies,3.84
Gram,Pulse,Sandy Loam,21-31,800-1300,Kharif,NPK 20:20:0,Mosaic virus,Manipur,Jun-Jul,Sep-Oct,4.66
Guava,Fruit,Sandy,26-36,200-500,Annual,Compost,Cutworm,Maharashtra,Varies,Varies,24
Apple,Fruit,Alluvial,22-32,900-1700,Annual,Lime,Aphids,Kerala,Varies,Varies,21
Okra,Vegetable,Red,14-24,700-800,Perennial,Compost,Mosaic virus,Punjab,Varies,Varies,2.82
Pomegranate,Fruit,Clay Loam,14-24,400-900,Annual,NPK 20:20:0,Early blight,Rajasthan,Varies,Varies,3.13
Potato,Vegetable,Black (Regur),18-28,800-1100,Annual,DAP,Whitefly,Meghalaya,Varies,Varies,2.43
Coconut,Plantation,Sandy Loam,29-39,1500-1600,Zaid,Muriate of Potash,Nematode,Sikkim,Mar-Apr,Jun-Jul,11730 nuts/tree
Cinnamon,Oilseed,Loamy,11-21,500-700,Zaid,Muriate of Potash,None common,Arunachal Pradesh,Mar-Apr,Jun-Jul,3.78
Ragi,Cereal,Saline,14-24,600-700,Zaid,No fertilizer (organic),Whitefly,Tamil Nadu,Mar-Apr,Jun-Jul,2.19
Banana,Fruit,Laterite,16-26,1000-1800,Zaid,Lime,Early blight,Sikkim,Mar-Apr,Jun-Jul,29
Maize,Cereal,Saline,26-36,200-500,Rabi,Urea,Pod borer,Assam,Oct-Nov,Mar-Apr,4.1
Ragi,Cereal,Alluvial,12-22,800-1100,Zaid,DAP,Stem borer,Tamil Nadu,Mar-Apr,Jun-Jul,4.42
Orange,Fruit,Peaty,13-23,700-1200,Annual,Lime,Aphids,Odisha,Varies,Varies,2.3
Maize,Cereal,Laterite,26-36,600-900,Perennial,Ammonium Sulphate,Mosaic virus,Odisha,Varies,Varies,1.32
Sweet Potato,Fruit,Laterite,26-36,600-700,Zaid,Ammonium Sulphate,Stem borer,Jharkhand,Mar-Apr,Jun-Jul,4.26
Cabbage,Vegetable,Red,12-22,800-1600,Annual,Balanced NPK 100:50:50,Anthracnose,Kerala,Varies,Varies,2.67
Cardamom,Fruit,Saline,20-30,900-1700,Rabi,NPK 20:20:0,Powdery mildew,West Bengal,Oct-Nov,Mar-Apr,3.4
Arecanut,Plantation,Sandy,26-36,400-900,Rabi,Balanced NPK 100:50:50,Fall armyworm,Puducherry,Oct-Nov,Mar-Apr,1.16
Soybean,Oilseed,Sandy Loam,14-24,200-500,Perennial,Ammonium Sulphate,Pod borer,Chhattisgarh,Varies,Varies,4.16
Chili,Vegetable,Laterite,13-23,400-600,Kharif,Compost,Fungal wilt,Karnataka,Jun-Jul,Sep-Oct,3.41
Orange,Fruit,Alluvial,21-31,300-800,Rabi,Lime,Fungal wilt,Andhra Pradesh,Oct-Nov,Mar-Apr,3.55
Pineapple,Fruit,Loamy,14-24,400-600,Rabi,Urea,Powdery mildew,Tripura,Oct-Nov,Mar-Apr,8
Garlic,Vegetable,Laterite,16-26,500-600,Rabi,Gypsum,Fungal wilt,Andhra Pradesh,Oct-Nov,Mar-Apr,4.0
Potato,Vegetable,Clay Loam,11-21,1200-1700,Zaid,Ammonium Sulphate,Fungal wilt,Arunachal Pradesh,Mar-Apr,Jun-Jul,3.21
Bajra,Cereal,Black (Regur),24-34,900-1000,Rabi,Lime,Thrips,Rajasthan,Oct-Nov,Mar-Apr,4.18
Pineapple,Fruit,Alluvial,16-26,600-1100,Perennial,NPK 12:32:16,None common,Jammu & Kashmir,Varies,Varies,17
Bottle Gourd,Oilseed,Clay Loam,19-29,1200-1300,Annual,Muriate of Potash,Late blight,Jammu & Kashmir,Varies,Varies,2.99
Tobacco,Cash Crop,Red,28-38,1000-1200,Perennial,Ammonium Sulphate,Root rot,Chhattisgarh,Varies,Varies,1.09
Arecanut,Plantation,Black (Regur),18-28,700-900,Kharif,DAP,Whitefly,Nagaland,Jun-Jul,Sep-Oct,2.56
Pineapple,Fruit,Saline,15-25,800-1600,Perennial,Urea,None common,Odisha,Varies,Varies,18
Cotton,Oilseed,Red,15-25,200-700,Zaid,NPK 12:32:16,Mosaic virus,Tripura,Mar-Apr,Jun-Jul,4.37
Coffee,Plantation,Red,16-26,200-1000,Zaid,Urea,Late blight,Andhra Pradesh,Mar-Apr,Jun-Jul,3.14
Rice,Cereal,Laterite,16-26,1200-1700,Perennial,Ammonium Sulphate,Late blight,Haryana,Varies,Varies,2.73
Chili,Vegetable,Laterite,11-21,400-600,Kharif,Balanced NPK 100:50:50,Nematode,Punjab,Jun-Jul,Sep-Oct,1.07
Coriander,Cash Crop,Black (Regur),11-21,300-800,Rabi,Muriate of Potash,Anthracnose,Tamil Nadu,Oct-Nov,Mar-Apr,3.52
Tea,Plantation,Saline,21-31,200-300,Zaid,Organic FYM,Nematode,Delhi,Mar-Apr,Jun-Jul,1.95
Millet,Cereal,Peaty,12-22,600-1100,Rabi,DAP,Leaf spot,Uttarakhand,Oct-Nov,Mar-Apr,2.1
Banana,Fruit,Saline,11-21,300-1100,Annual,DAP,Early blight,Arunachal Pradesh,Varies,Varies,58
Brinjal,Vegetable,Saline,20-30,600-1400,Annual,Compost,Nematode,Puducherry,Varies,Varies,1.6
Moringa,Plantation,Red,29-39,500-800,Rabi,Urea,Whitefly,Uttar Pradesh,Oct-Nov,Mar-Apr,3.1
Banana,Fruit,Clay Loam,11-21,700-1000,Annual,Balanced NPK 100:50:50,Brown spot,Uttar Pradesh,Varies,Varies,60
Arecanut,Plantation,Sandy,12-22,600-900,Annual,Lime,Root rot,Tripura,Varies,Varies,1.28
Cabbage,Vegetable,Saline,29-39,200-400,Rabi,Organic FYM,Root rot,Puducherry,Oct-Nov,Mar-Apr,4.0
Bajra,Cereal,Loamy,14-24,1500-2000,Annual,Organic FYM,Late blight,Himachal Pradesh,Varies,Varies,4.53
Jowar,Cereal,Sandy,28-38,1500-1800,Annual,Lime,Stem borer,Assam,Varies,Varies,3.0
Sweet Potato,Pulse,Red,18-28,200-500,Perennial,Balanced NPK 100:50:50,Thrips,Jammu & Kashmir,Varies,Varies,1.78
Coffee,Plantation,Sandy,20-30,200-500,Perennial,DAP,Early blight,Delhi,Varies,Varies,1.59
Cucumber,Fruit,Laterite,26-36,600-800,Kharif,Organic FYM,Leaf roller,Tripura,Jun-Jul,Sep-Oct,1.35
Tobacco,Cash Crop,Loamy,26-36,400-600,Zaid,Gypsum,Mosaic virus,Uttarakhand,Mar-Apr,Jun-Jul,3.29
Sunflower,Oilseed,Peaty,14-24,500-600,Perennial,Ammonium Sulphate,Leaf spot,Uttarakhand,Varies,Varies,2.44
Barley,Cereal,Sandy Loam,24-34,200-300,Annual,Balanced NPK 100:50:50,Mosaic virus,Tamil Nadu,Varies,Varies,1.42
Banana,Fruit,Laterite,16-26,600-900,Annual,Organic FYM,None common,Chhattisgarh,Varies,Varies,27
Garlic,Vegetable,Red,18-28,300-400,Annual,Lime,Locusts,Bihar,Varies,Varies,1.65
Rapeseed,Oilseed,Red,19-29,1200-1400,Rabi,DAP,Pod borer,Sikkim,Oct-Nov,Mar-Apr,4.4
Ragi,Cereal,Alluvial,25-35,1500-1600,Kharif,Ammonium Sulphate,Leaf roller,Haryana,Jun-Jul,Sep-Oct,2.27
Cucumber,Cash Crop,Sandy,20-30,500-1300,Kharif,Gypsum,Fall armyworm,West Bengal,Jun-Jul,Sep-Oct,1.73
Bottle Gourd,Pulse,Loamy,19-29,1500-2000,Perennial,NPK 20:20:0,Rust,West Bengal,Varies,Varies,4.36
Betel Vine,Spice,Red,20-30,700-1200,Perennial,Urea,Aphids,Andhra Pradesh,Varies,Varies,1.44
Jute,Plantation,Sandy Loam,29-39,1200-1400,Annual,DAP,Fruit borer,Jammu & Kashmir,Varies,Varies,3.26
Pearl Millet,Cereal,Peaty,24-34,800-1600,Perennial,NPK 20:20:0,Fungal wilt,Kerala,Varies,Varies,3.6
Pineapple,Fruit,Sandy Loam,16-26,1200-1700,Perennial,Compost,Root rot,Jharkhand,Varies,Varies,30
Grapes,Fruit,Black (Regur),28-38,900-1000,Annual,Compost,Late blight,Maharashtra,Varies,Varies,3.46
Tea,Plantation,Clay Loam,12-22,1200-1300,Annual,Ammonium Sulphate,Root rot,Andhra Pradesh,Varies,Varies,2.61
Jowar,Cereal,Laterite,14-24,1200-1300,Rabi,Balanced NPK 100:50:50,Cutworm,Chhattisgarh,Oct-Nov,Mar-Apr,2.89
Cucumber,Vegetable,Laterite,20-30,600-1400,Zaid,Ammonium Sulphate,Leaf spot,Puducherry,Mar-Apr,Jun-Jul,1.87
Wheat,Cereal,Clay Loam,14-24,600-700,Zaid,Lime,Leaf roller,Uttar Pradesh,Mar-Apr,Jun-Jul,4.01
Sweet Potato,Pulse,Sandy,10-20,500-1000,Annual,Ammonium Sulphate,Powdery mildew,Maharashtra,Varies,Varies,3.58
Pepper,Other,Laterite,15-25,900-1100,Rabi,Lime,Fruit borer,Jammu & Kashmir,Oct-Nov,Mar-Apr,4.84
Cotton,Fruit,Red,14-24,200-300,Kharif,Muriate of Potash,Mosaic virus,Delhi,Jun-Jul,Sep-Oct,2.78
Sesamum,Pulse,Red,30-40,800-1300,Annual,Ammonium Sulphate,Fungal wilt,Odisha,Varies,Varies,2.65
Cucumber,Spice,Sandy Loam,17-27,400-900,Annual,Urea,Fall armyworm,Andhra Pradesh,Varies,Varies,3.89
Tobacco,Cash Crop,Clay Loam,27-37,1200-1500,Kharif,Urea,Fall armyworm,Andhra Pradesh,Jun-Jul,Sep-Oct,3.23
Bottle Gourd,Pulse,Red,26-36,600-1100,Annual,DAP,Locusts,Delhi,Varies,Varies,3.03
Pearl Millet,Cereal,Saline,19-29,1200-1300,Zaid,Lime,None common,Uttar Pradesh,Mar-Apr,Jun-Jul,2.8
Bitter Gourd,Cash Crop,Clay Loam,21-31,600-900,Rabi,Urea,Leaf spot,Puducherry,Oct-Nov,Mar-Apr,3.05
Onion,Vegetable,Loamy,28-38,400-1200,Kharif,Balanced NPK 100:50:50,Pod borer,Himachal Pradesh,Jun-Jul,Sep-Oct,3.26
Drumstick,Pulse,Red,26-36,300-600,Zaid,Muriate of Potash,Fungal wilt,Karnataka,Mar-Apr,Jun-Jul,1.8
Masoor,Pulse,Saline,14-24,1500-2000,Zaid,Muriate of Potash,Bacterial blight,Himachal Pradesh,Mar-Apr,Jun-Jul,3.63
Bajra,Cereal,Black (Regur),14-24,1200-1400,Perennial,Ammonium Sulphate,None common,Rajasthan,Varies,Varies,1.86
Jute,Plantation,Saline,21-31,200-500,Kharif,Urea,Blast disease,Chhattisgarh,Jun-Jul,Sep-Oct,2.31
Orange,Fruit,Clay Loam,25-35,600-800,Annual,Ammonium Sulphate,Stem borer,Tamil Nadu,Varies,Varies,4.42
Rapeseed,Oilseed,Alluvial,13-23,1000-1300,Perennial,Compost,Powdery mildew,Uttarakhand,Varies,Varies,1.81
Moong (Green Gram),Pulse,Saline,22-32,900-1100,Annual,NPK 20:20:0,Locusts,Maharashtra,Varies,Varies,4.1
Rapeseed,Oilseed,Alluvial,10-20,300-400,Perennial,DAP,Locusts,Bihar,Varies,Varies,3.42
Brinjal,Vegetable,Laterite,11-21,200-1000,Kharif,Urea,Fungal wilt,Meghalaya,Jun-Jul,Sep-Oct,4.05
Soybean,Oilseed,Black (Regur),29-39,400-900,Annual,Muriate of Potash,Whitefly,Nagaland,Varies,Varies,1.51
Pearl Millet,Cereal,Sandy,23-33,1500-1800,Zaid,Muriate of Potash,None common,Haryana,Mar-Apr,Jun-Jul,1.59
Pineapple,Fruit,Alluvial,18-28,600-800,Perennial,DAP,Early blight,Puducherry,Varies,Varies,14
Pear,Fruit,Loamy,13-23,400-1200,Perennial,NPK 20:20:0,Fungal wilt,Manipur,Varies,Varies,1.38
Onion,Vegetable,Alluvial,12-22,300-1100,Zaid,Gypsum,Stem borer,Delhi,Mar-Apr,Jun-Jul,3.06
Rice,Cereal,Clay Loam,18-28,400-700,Perennial,Compost,Stem borer,Telangana,Varies,Varies,3.97
Bottle Gourd,Spice,Clay Loam,12-22,1000-1200,Kharif,Ammonium Sulphate,Leaf spot,Jammu & Kashmir,Jun-Jul,Sep-Oct,3.52
Sweet Potato,Cash Crop,Sandy,22-32,200-300,Zaid,Lime,Root rot,Haryana,Mar-Apr,Jun-Jul,4.45
Okra,Vegetable,Red,27-37,200-700,Rabi,NPK 12:32:16,Leaf spot,Rajasthan,Oct-Nov,Mar-Apr,4.51
Sweet Potato,Plantation,Black (Regur),30-40,900-1100,Rabi,Urea,Brown spot,Uttar Pradesh,Oct-Nov,Mar-Apr,3.82
Drumstick,Spice,Black (Regur),27-37,1500-1800,Perennial,Lime,Late blight,Uttar Pradesh,Varies,Varies,0.7
Barley,Cereal,Black (Regur),16-26,1500-2300,Perennial,Balanced NPK 100:50:50,Thrips,West Bengal,Varies,Varies,3.5
Pearl Millet,Cereal,Red,25-35,1500-1600,Perennial,Compost,Leaf roller,Kerala,Varies,Varies,3.24
Tea,Plantation,Sandy,13-23,900-1700,Rabi,Compost,Aphids,Jammu & Kashmir,Oct-Nov,Mar-Apr,3.04
Masoor,Pulse,Saline,29-39,500-600,Rabi,Ammonium Sulphate,Root rot,Himachal Pradesh,Oct-Nov,Mar-Apr,4.4
Pomegranate,Fruit,Black (Regur),28-38,1000-1200,Zaid,NPK 20:20:0,None common,Punjab,Mar-Apr,Jun-Jul,3.06
Soybean,Oilseed,Red,23-33,400-700,Annual,Muriate of Potash,Late blight,Kerala,Varies,Varies,3.97
Moong (Green Gram),Pulse,Red,10-20,900-1000,Kharif,Urea,Blast disease,Puducherry,Jun-Jul,Sep-Oct,1.55
Brinjal,Vegetable,Loamy,14-24,500-700,Zaid,Lime,Late blight,Madhya Pradesh,Mar-Apr,Jun-Jul,1.58
Bajra,Cereal,Loamy,29-39,300-600,Zaid,Ammonium Sulphate,Stem borer,Jharkhand,Mar-Apr,Jun-Jul,1.5
Moong (Green Gram),Pulse,Peaty,26-36,500-1000,Rabi,NPK 12:32:16,Leaf roller,Assam,Oct-Nov,Mar-Apr,1.08
Bitter Gourd,Plantation,Red,15-25,1500-1600,Kharif,Balanced NPK 100:50:50,Nematode,Tamil Nadu,Jun-Jul,Sep-Oct,1.55
Pumpkin,Cereal,Black (Regur),11-21,1000-1200,Rabi,Urea,Early blight,Telangana,Oct-Nov,Mar-Apr,1.91
Cinnamon,Cash Crop,Clay Loam,16-26,1500-1800,Rabi,DAP,Root rot,Kerala,Oct-Nov,Mar-Apr,1.67
Arecanut,Plantation,Laterite,12-22,900-1700,Perennial,Urea,Powdery mildew,West Bengal,Varies,Varies,1.97
Tea,Plantation,Sandy Loam,14-24,900-1100,Zaid,NPK 12:32:16,Brown spot,Maharashtra,Mar-Apr,Jun-Jul,1.32
Jowar,Cereal,Red,13-23,900-1400,Perennial,Muriate of Potash,None common,Maharashtra,Varies,Varies,1.64
Sugarcane,Plantation,Saline,27-37,500-600,Perennial,Lime,Early blight,Uttarakhand,Varies,Varies,73
Bitter Gourd,Plantation,Sandy,10-20,800-1000,Rabi,Organic FYM,Powdery mildew,Goa,Oct-Nov,Mar-Apr,2.34
Cotton,Cereal,Clay Loam,11-21,200-700,Annual,Urea,Powdery mildew,Telangana,Varies,Varies,2.85
Moong (Green Gram),Pulse,Loamy,17-27,300-1100,Kharif,No fertilizer (organic),Mosaic virus,Madhya Pradesh,Jun-Jul,Sep-Oct,4.16
Okra,Vegetable,Black (Regur),10-20,900-1200,Rabi,No fertilizer (organic),Late blight,Uttarakhand,Oct-Nov,Mar-Apr,3.25
Pumpkin,Plantation,Red,22-32,400-700,Perennial,No fertilizer (organic),Powdery mildew,Uttar Pradesh,Varies,Varies,3.76
Spinach,Vegetable,Alluvial,19-29,800-1100,Annual,Lime,Fall armyworm,Himachal Pradesh,Varies,Varies,2.02
Spinach,Vegetable,Peaty,21-31,200-300,Perennial,Organic FYM,Late blight,Sikkim,Varies,Varies,1.05
Millet,Cereal,Laterite,14-24,700-900,Annual,DAP,Powdery mildew,Andhra Pradesh,Varies,Varies,4.06
Banana,Fruit,Sandy Loam,21-31,600-1400,Perennial,NPK 12:32:16,Leaf roller,Haryana,Varies,Varies,43
Cauliflower,Vegetable,Loamy,26-36,1000-1100,Perennial,No fertilizer (organic),Thrips,Meghalaya,Varies,Varies,4.54
Cucumber,Cash Crop,Black (Regur),16-26,900-1000,Kharif,Ammonium Sulphate,Blast disease,Tamil Nadu,Jun-Jul,Sep-Oct,4.13
Jute,Plantation,Black (Regur),14-24,900-1100,Rabi,Lime,Powdery mildew,Uttar Pradesh,Oct-Nov,Mar-Apr,2.65
Groundnut,Oilseed,Sandy Loam,23-33,900-1000,Zaid,NPK 20:20:0,Aphids,Uttar Pradesh,Mar-Apr,Jun-Jul,3.98
Spinach,Vegetable,Saline,20-30,1500-1800,Perennial,Compost,Anthracnose,Nagaland,Varies,Varies,3.06
